id,name,anal,anal_ID,quar,quar_ID,cal,cal_ID,arag,arag_ID,dolo,dolo_ID,orth,orth_ID,anorth,anorth_ID,plagi,plagi_ID,mont,mont_ID,ill,ill_ID,py,py_ID,alb,alb_ID,mus,mus_ID,anothi,anothi_ID,iron,iron_ID,paly,paly_ID,chab,chab_ID,phil,phil_ID,harm,harm_ID,clin,clin_ID,erio,erio_ID,sani,sani_ID,hali,hali_ID,gyp,gyp_ID,andr,andr_ID,nont,nont_ID,any1,any1_ID,any2,any2_ID
18,2A-23Y-1-48-50,1,NA,3,NA,2,01-072-4582,0,NA,1,01-079-1345,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,Microcline,1,Hornblende
19,2A-23Y-1-80-83,1,NA,2,NA,2,00-005-0586,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,Diopsite,1,Microcline
20,2A-23Y-1-112-114,1,NA,3,NA,2,00-005-0586,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,00-041-1480,0,NA,1,00-018-1202,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,Microcline,0,NA
21,2A-23Y-2-16-18,1,00-041-1478,3,NA,3,01-072-4582,0,NA,0,NA,0,NA,0,NA,0,NA,1,00-003-0015,0,NA,0,NA,0,NA,0,NA,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
22,2A-23Y-2-48-50,3,NA,0,NA,3,01-071-3699,0,NA,1,01-079-1345,0,NA,0,NA,0,NA,1,NA,1,NA,0,NA,0,NA,0,NA,1,00-020-0528,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
23,2A-23Y-2-80-83,3,NA,0,NA,3,01-071-3699,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,00-034-0137,0,NA,0,NA,0,NA,0,NA,1,01-083-1657,0,NA,0,NA,0,NA,0,NA,1,Microcline,0,NA
24,2A-23Y-2-112-114,2,00-041-1478,0,NA,3,01-071-3699,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,00-046-1427,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
25,2A-24Y-1-16-18,1,NA,0,NA,3,01-071-3699,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,0,NA,0,NA,0,NA,2,NA,0,NA,0,NA,0,NA,1,00-034-0137,1,NA,0,NA,1,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
26,2A-24Y-1-48-50,3,NA,0,NA,3,01-071-3699,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,00-039-1375,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
27,2A-24Y-1-80-83,3,NA,1,NA,3,01-071-3699,0,NA,0,NA,1,01-086-0439,0,NA,0,NA,1,NA,1,00-009-0343,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
